"Субъект РФ","Все население","Городское население","Сельское население"
"Республика Алтай",221559,64558,157001
"Республика Тыва",332609,182587,150022
"Республика Хакасия",528338,370552,157786
"Алтайский край",2268179,1302594,965585
"Красноярский край ",2849169,2219359,629810
"Иркутская область",2357134,1837575,519559
"Кемеровская область",2604272,2241750,362522
"Новосибирская область",2780292,2206580,573712
"Омская область",1879548,1372948,506600
"Томская область",1068304,771588,296716
