"Город","Субъект РФ","Численность на 01.01.2022","Численность на 01.01.2021"
"Москва","Город федерального значения Москва",12635466,12655050
"Санкт-Петербург","Город федерального значения Санкт-Петербург",5377503,5384342
"Новосибирск","Новосибирская область",1621330,1620162
"Екатеринбург","Свердловская область",1493600,1495066
"Казань","Республика Татарстан",1259173,1257341
"Нижний Новгород","Нижегородская область",1233949,1244254
"Челябинск","Челябинская область",1179288,1187960
"Самара","Самарская область",1136709,1144759
"Уфа","Республика Башкортостан",1135061,1125933
"Ростов-на-Дону","Ростовская область",1134694,1137704
"Омск","Омская область",1126193,1139897
"Красноярск","Красноярский край",1103023,1092851
"Воронеж","Воронежская область",1048738,1050602
"Пермь","Пермский край",1042763,1049199
"Волгоград","Волгоградская область",1001183,1004763
